"cod";"Materia";"cuat inicio";"cuat fin";"fecha inicio";"fecha fin";"comision";"Profesor"
"11.63";"Simulación";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Arakaki, Gaston Nicolas"
"11.63";"Simulación";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Crosta Blanco, Pilar"
"11.87";"Investigación de Operaciones II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Lastra Ortelli, Gregorio Juan Valentin"
"11.87";"Investigación de Operaciones II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Belocopitow, Federico Javier"
"11.87";"Investigación de Operaciones II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Bianchi, Tomás Agustín"
"11.87";"Investigación de Operaciones II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Remacha, Gonzalo Hernán"
"11.87";"Investigación de Operaciones II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Vilaboa, Ivan Gonzalo"
"11.87";"Investigación de Operaciones II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Gostuski, Ladislao Paul"
"11.87";"Investigación de Operaciones II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Lastra Ortelli, Gregorio Juan Valentin"
"11.87";"Investigación de Operaciones II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Belocopitow, Federico Javier"
"11.87";"Investigación de Operaciones II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Bianchi, Tomás Agustín"
"11.87";"Investigación de Operaciones II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Remacha, Gonzalo Hernán"
"11.87";"Investigación de Operaciones II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Vilaboa, Ivan Gonzalo"
"11.87";"Investigación de Operaciones II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Gostuski, Ladislao Paul"
"22.08";"Algoritmos y Estructura de Datos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"K";"Ressl, Marc S."
"93.65";"Matemática IV";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Peralta, Nora Beatriz"
"93.65";"Matemática IV";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Devoto, Jorge Andres"
"93.65";"Matemática IV";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Orecchia, Monica Ines"
"93.65";"Matemática IV";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Florit, Patricia Teresa"
"93.65";"Matemática IV";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Orecchia, Monica Ines"
"93.65";"Matemática IV";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Florit, Patricia Teresa"
"93.65";"Matemática IV";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"D";"Sirczuk, Diana Graciela"
"93.65";"Matemática IV";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"D";"Devoto, Jorge Andres"
"93.65";"Matemática IV";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"MNPBIO";"Benítez, Oscar Matías"
"93.65";"Matemática IV";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"MNPBIO";"Sirczuk, Diana Graciela"
"93.65";"Matemática IV";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"Q";"Peralta, Nora Beatriz"
"93.65";"Matemática IV";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"Q";"Devoto, Jorge Andres"
"32.69";"Resistencia y Propulsión";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"N";"Cabrera, Anibal Omar"
"32.69";"Resistencia y Propulsión";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"N";"Koczan, Jonatan Ariel"
"41.25";"Terminación y Reparación de Pozos de Petróleo y Gas";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"P";"Fucello, Luciano"
"72.03";"Introducción a la Informática";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S1";"Turrin, Marcelo Emiliano"
"72.03";"Introducción a la Informática";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S1";"Buquete, Maria Alejandra"
